('magic', 1902.8265235771394)	('kingdom', 1888.1045949260786)	('dragon', 1870.1474128243308)	('village', 1749.662406562325)	('sword', 1641.326759270156)	('castle', 1634.8298763008436)	('prince', 1607.1060116990484)	('forest', 1602.5562814545935)	('king', 1583.766259327425)	('royal', 1541.3091537963621)	('knight', 1493.5701256237796)	('horse', 1388.489863883136)	('tree', 1355.6875642164475)	('creature', 1350.2507077307735)	('land', 1349.3148644945109)	('cloak', 1341.9586667806172)	('throne', 1332.13609694086)	('wing', 1328.0699979528551)	('scale', 1319.5290978987002)	('town', 1314.5156177378522)	('wood', 1309.5458044382763)	
('college', 971.1336323216058)	('university', 853.4857536366557)	('campus', 802.8562493124696)	('roommate', 731.6622160447978)	('professor', 695.115586279346)	('music', 642.4212409453388)	('studying', 623.2826938631534)	('study', 611.3558132538717)	('jean', 607.196930170512)	('coffee', 600.9586055454726)	('semester', 600.94556556087)	('major', 581.1159812313634)	('library', 575.966385961285)	('party', 574.0134361010281)	('date', 563.5286577952355)	('drink', 562.6124733376092)	('grade', 560.732121031856)	('text', 554.5843924807642)	('laptop', 548.8692202877953)	('cup', 544.8548417354878)	('dude', 543.4100819465948)	
('soulmate', 1419.7342284555116)	('soulmates', 1365.4217478091489)	('fate', 404.65204610546306)	('bond', 376.6084715095795)	('soul', 367.7661841686241)	('mark', 361.8228282522914)	('written', 357.2863956469572)	('meet', 340.569809487114)	('born', 335.46239772138006)	('universe', 329.8882465073452)	('often', 326.71589622412233)	('meeting', 325.10645831168824)	('sometimes', 323.00658614093453)	('age', 322.51670446104987)	('met', 320.7947882910881)	('wondering', 320.7249449918218)	('ignore', 319.1292644450714)	('connection', 315.0549707708091)	('destined', 313.4135770134745)	('finding', 309.9743881764535)	('wrist', 308.18262870722543)	
('customer', 359.09015421043074)	('barista', 340.67263866485814)	('shop', 327.24310887229205)	('coffee', 293.20125737685686)	('espresso', 284.517972716203)	('latte', 275.6714373082491)	('apron', 252.8073215221546)	('counter', 247.45354345990046)	('cup', 225.72557729041634)	('college', 222.17817418427882)	('drink', 216.80289577659465)	('cafe', 214.61758342385676)	('coworker', 198.47781828674138)	('caffeine', 193.4512762780591)	('regular', 189.5635140771547)	('employee', 183.49326614195664)	('order', 183.47592201748742)	('menu', 182.6334280233976)	('register', 182.09342074745837)	('sip', 179.54645502230758)	('baristas', 179.34714363691592)	
('bouquet', 237.30025435231173)	('customer', 170.65670695149186)	('carnation', 170.61634926616009)	('shop', 166.26061176576127)	('flower', 159.03402558643202)	('lily', 145.5011152676328)	('stem', 144.6972344655693)	('apron', 138.63627309279448)	('florist', 137.80368458348357)	('petal', 135.4920353817762)	('vase', 133.81545780712284)	('plant', 125.82075548926761)	('arrangement', 122.51652468765104)	('counter', 120.60760941743047)	('bell', 110.29282237084608)	('bloom', 110.09111771628112)	('tulip', 106.60680334159109)	('rose', 103.26955513480232)	('register', 101.16301152636576)	('store', 99.01115899874398)	('daisy', 97.72822132117994)	
('alley', 173.53777895023512)	('alleyway', 171.7320873293102)	('police', 170.51420641774652)	('killed', 170.51420641774652)	('glove', 169.99280064337296)	('kurogiri', 166.18119344424494)	('bar', 165.7861266955713)	('quirkless', 164.79184330021647)	('knife', 164.00383888600803)	('league', 159.02686016261526)	('killing', 158.34343977691552)	('street', 157.67483329206883)	('mask', 155.8631927318941)	('civilian', 155.26496844542774)	('mission', 153.8969614476922)	('useless', 153.87867408430785)	('tomura', 152.5465838567014)	('information', 152.29955488438466)	('villain', 151.60849583619915)	('abandoned', 150.16638793748845)	('shigaraki', 149.7197910009482)	
('vampire', 477.89246441399735)	('creature', 449.1593730028445)	('human', 395.97884269940016)	('fang', 390.9204365632989)	('undead', 373.0525195270533)	('werewolf', 360.96220342328195)	('supernatural', 338.340352485719)	('alive', 324.39288050205437)	('hunt', 313.964247935803)	('hunter', 312.7493650275747)	('moon', 311.55615644961506)	('wood', 310.61333122350004)	('monster', 305.22897353792285)	('path', 299.4395820018963)	('zombie', 298.4380460852367)	('flesh', 297.53412546553824)	('wolf', 297.08576533634465)	('tree', 296.62531794038966)	('hunting', 295.1848194457563)	('pack', 292.9353635872937)	('road', 292.4042267506152)	
('guitar', 305.8613496726915)	('band', 259.64756608209854)	('drummer', 256.5643711031882)	('singer', 247.79135288006304)	('bass', 235.4765100656167)	('guitarist', 230.02988899429027)	('drum', 227.87240995153428)	('instrument', 226.57521408100615)	('song', 200.56835705075963)	('music', 193.41714781149986)	('lyric', 192.99503370565276)	('stage', 191.38853364581863)	('musician', 184.9121305058296)	('backstage', 184.13108425754533)	('venue', 180.31236687400857)	('concert', 180.3074208778035)	('bassist', 176.55071703721796)	('sing', 173.32405980692278)	('performance', 171.32887051185753)	('singing', 166.61022550876018)	('drumstick', 164.403027987492)	
('bruise', 177.44425018707943)	('age', 170.2171495766652)	('parent', 167.38154289314642)	('anymore', 159.42385152878742)	('hug', 155.88307382284077)	('sibling', 154.50603959367362)	('tiny', 154.09131435361272)	('father', 152.49237972318795)	('curled', 149.71979100094816)	('tighter', 148.76706273276912)	('house', 148.3334966398283)	('memory', 146.45885003150312)	('special', 145.9432611791485)	('growing', 145.13251700747244)	('forth', 145.01682210419048)	('playground', 144.93111581940474)	('mother', 143.91820981552237)	('blame', 142.81959752685427)	('cool', 142.78831919534872)	('upon', 141.63053629420082)	('thrown', 139.32258329254898)	
('demon', 142.0951720147888)	('wing', 124.76649250079015)	('angel', 117.8350206951907)	('horn', 111.12076238955365)	('feather', 94.40570415959496)	('soul', 91.94154604215602)	('creature', 91.49542783391277)	('claw', 91.27760835415965)	('human', 89.58797346140275)	('golden', 86.65760643527072)	('heaven', 86.63731726455529)	('summoned', 82.54268770090184)	('summoning', 82.08133353413912)	('tail', 77.03210614342801)	('realm', 74.70563562943147)	('ithe', 74.54719949364001)	('earth', 74.54719949364001)	('bound', 72.0873067782343)	('nail', 72.062292843852)	('dripping', 71.81858200892303)	('pulsing', 71.1223869344657)	
('reincarnation', 73.88374782702667)	('nightmare', 52.78114659230517)	('reincarnated', 52.733389856069266)	('raise', 51.986038541995896)	('beautiful', 51.961024607613595)	('dying', 50.355800728765786)	('dream', 48.28313737302301)	('sob', 47.95790545596741)	('infant', 47.317458348250035)	('ponytail', 47.14214161981064)	('memory', 46.67369946058891)	('painting', 46.219524799362375)	('battlefield', 45.747713916956386)	('curse', 45.56001018316904)	('rubble', 45.054566736396445)	('war', 44.93598410330986)	('joy', 44.86397460345939)	('confident', 44.72831969618401)	('rise', 43.94449154672439)	('existence', 43.896919023008095)	('trail', 43.74911676688687)	
