fic_id,chapter_id,para_id,text
13365297,4,1,"Bakugo ($_bakugo) recordaba perfectamente como su culo hab a llegado a parar al castillo Todoroki . Hab a sido una tarde en su juventud cazando con su fiel amigo cambia formas Kirishima cuando sonidos de caballos los alertaron , pues en el sector que estaban no hab an de esos animales . No lograron abandonar el sector a tiempo antes de que arribaran personas con armaduras y caballos rode ndoles . 
"
13365297,4,2,"Fue cuesti n de tiempo antes de que el caos desbordara la tranquilidad de la monta a , Katsuki se defendi con garras y dientes cuando su cuchillo fue a parar entre los espesos rboles , Kirishima intento ayudarle pero cuando estuvo herido Bakugo logro convencerlo de que fuera a buscar ayuda , que l los distraer a mientras el pelirrojo hac a aquello . 
"
13365297,4,3,"Ambos sab an que era una absoluta mentira , pero que el rubio se lamentar a m s si lograban capturar al otro ojicarm n. 
"
13365297,4,4,"Ese d a Bakugo fue tomado como un prisionero b rbaro y encerrado en los calabozos para ser expuesto una vez al mes en la plaza central a ver si su tribu ven a a rescatarlo , orill ndolo a comportarse de manera salvaje y siendo humillado reiteradas veces . 
"
13365297,4,5,"Con el pasar de los meses el rey perdi m s la esperanza de que vinieran por el joven b rbaro , al cual no parec a afectarle aquello porque en bien sab a la raz n de por qu nadie ven a por l , y es que no se arriesgar an as y ten an fe de que el lograra escapar por su cuenta . 
"
13365297,4,6,"Y justo el d a en el que planeaba escapar fue llevado ante el bastardo de Shouto como si de un animal se tratara , con correa y todo . 
"
13365297,4,7,"Tuvo que aprender a convivir con el mitad albino de a poco , con el paso del tiempo disfrutando cada vez m s su presencia cosa que nunca admitir a. Incluso este lo sacaba de las cuatro paredes del castillo y soltaba su correa volvi ndolo a tratar como persona al igual que cuando estaban a solas . Bakugo ($_bakugo) era inteligente , aprendi mucho de los libros que Todoroki le tra a de la biblioteca real a escondidas , ambos entrenaban juntos tambi n siendo este su pasatiempo favorito . 
"
13365297,4,8,"Y cuando el rey Endeavor pereci para el ojirub fue todo para mejor . 
"
13365297,4,9,"Cuando el bicolor llevaba unas semanas de mandato y estando tan ocupado que no pod a pasar tiempo con Katsuki le dijo que lo dejar a partir a sus tierras siempre y cuando volviera al plazo de un mes debido a que lo amaba y quer a ser ego sta con el rubio . 
"
13365297,4,10,"Su tribu se llev la sorpresa de su vida cuando lo vieron frente a ellos parado intacto y orgulloso , celebraron y muchos dijeron que ya le cre an muerto , Kirishima se lanz a llorar en sus brazos y le present a su pareja Kaminari , nadie le cuestion que hizo durante todo ese tiempo , o porque no volvi antes , estaban tan contentos que pasaban por alto ese detalle . 
"
13365297,4,11,"Claro , hasta que dijo que se ir a en el plazo de un mes para volver con su prometido . 
"
13365297,4,12,"La tribu estaba euf rica , ya no porque Bakugo volviera , sino porque se hab a comprometido con el actual rey del imperio Todoroki pero decidieron dejar el tema de lado , le regalaron collares y se perfor las orejas poni ndose escamas de su mejor amigo como pendientes , reafirmaron su marca como miembro de la tribu y aprovecharon al m ximo aquel mes el cual al finalizar Shouto no esperaba ver al rubio de vuelta , cre a que se ir a para siempre pero el de ojos rub le demostr lo equivocado que estuvo . 
"
13365297,4,13,"Despu s de eso las idas y vueltas de Bakugo a la tribu se volvieron constantes , fue acompa ado un par de veces por el bicolor el cual fue recibido cada vez mejor provocando que con el paso de los a os y proclamando a Bakugo como la reina ver de vez en cuando a b rbaros caminar por el reino debido a que generalmente iban a visitar al rubio o porque simplemente estaban escasos de alg n alimento fuera absolutamente normal . 
"
13365297,4,14,"Y aqu estaba Bakugo , sentado junto a su esposo Shouto en un solo asiento gigante pues odiaba sentarse en el de reina , ni que fuera mujer , cuando el heterocrom tico le llamo la atenci n. 
"
13365297,4,15,"- En qu tanto piensas Katsuki ($_katsuki) ? 
"
13365297,4,16,"- En el jodido tiempo que ha pasado desde el d a en que me presentaron tu horrible cara . 
"
13365297,4,17,"- Yo tambi n te amo , Katsuki ($_katsuki) , el sentimiento es mutuo . 
"
13365297,4,18,"- C llate . 
"
